"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Toward a Quantitative Colorimeter for Point-of-Care\nNitrite Detection","https://scispace.com/paper/toward-a-quantitative-colorimeter-for-point-of-care-nnitrite-sxr66far3ovh","2022","Repository","","","10.1021/acsomega.1c07205.s001","","This paper reports\non a low-cost, quantitative, point-of-care solution\nfor the early detection of nitrite, a common biomarker for urinary\ntract infections (UTIs). In a healthy individual, nitrite is not found\nin the urine. However, a subject with a suspected UTI will produce\nnitrite in their urine since the bacteria present will convert nitrate\ninto nitrite. Traditionally, nitrite is monitored by urinary dipsticks\nthat are either read by eye or using a reflectance spectrophotometer.\nBoth methods provide a semiquantitative positive or negative result\nat best. In this paper, we described a novel, affordable, portable\ntransmission-based colorimeter for the quantitative measurement of\nnitrite. A unique permutation of the Griess reaction was optimized\nfor the clinical detection of nitrite in urine and is reported. By\nusing nitrite spiked in a salt buffer, artificial, and human urine\nsamples, the performance of the colorimeter was evaluated against\ndipsticks read using two commercial dipstick analyzers, Urisys 1100\n(Roche Diagnostics) and Clinitek Status+ (Siemens Medical Solutions).\nThe colorimeter was able to detect the clinically relevant range of\nnitrite from 0.78 to 200 μM in a salt buffer. The detection\nlimit in artificial urine was determined as 1.6 μM, which is\n∼16× more sensitive than commercial dipstick reflectance\nanalyzers, enabling the possibility for earlier detection of urinary\ninfections. The colorimeter is assembled using off-the-shelf components\n(&lt;$80) and controlled by a smartphone application &lt;i&gt;via&lt;/i&gt; low-energy bluetooth. It has a built-in color correction algorithm\nand is designed to enable for a turbidity correction in samples containing\nbacteria or other cellular debris as well. The mobile application\ncan display the nitrite concentration for a single sample or display\nthe results over a period of time. Tracking urinalysis results longitudinally\ncan help identify trends such as increases in nitrite concentrations\nover an individual’s baseline and identify possible infections\nearlier. While the detection of nitrite was showcased here, this portable\nanalyzer can be expanded to other colorimetric-based chemistries to\ndetect a panel of biomarkers, which can improve the overall sensitivity\nand specificity of the desired assay. ",""
"Performance evaluation of the semi-automated urine analyser DFI R-600S","https://scispace.com/paper/performance-evaluation-of-the-semi-automated-urine-analyser-mgmwfxcm02je","2025","Journal Article","Clinical and Experimental Health Sciences","Murat Can
Berrak Güven
Ferhan Adıbelli
Emrah Altunsoy","10.33808/clinexphealthsci.1583681","","Objective: The major considerations of the urine analysis performed in laboratories are to obtain a fast and accurate test result. Increasing number of instruments and methods have been developed for making it possible. The aim of this study is to compare the performance of the DFI R600S with that of the Roche Cobas U411. Methods: Five hundred thirty three freshly obtained out- and in-patient routine urine samples collected. We conducted an analysis using results from urine dipstick tests that measure ten parameters: glucose, protein, bilirubin, urobilinogen, pH, specific gravity, ketones, red blood cells, nitrite, and leukocytes. Both analyzers were utilized in the process, followed by a microscopic examination of the urinary sediment. Results: It was determined that the pH and specific gravity tests showed poor concordance, while the remaining tests exhibited moderate to very good concordance between the manual microscopic method and the individual devices. Conclusion: The semi-automated test strip analyzer DFI R600S offers low cost, easy to use and reliable first level screening method for urinalysis but it is important to be aware of conditions produce false-positive or false-negative results of the urine dipstick. ","This study compares the performance of the DFI R600S semi-automated urine analyzer with the Roche Cobas U411, finding moderate to good concordance for most tests, but poor concordance for pH and specific gravity."
"Urine screening for leucocytes and bacteria by dipstick and reflectance spectrophotometry.","https://scispace.com/paper/urine-screening-for-leucocytes-and-bacteria-by-dipstick-and-3ggsz5j5ni","1989","Journal Article","Medical laboratory sciences","B A Barker
J G Ratcliffe
G C Turner","","","In order to develop a rapid and reliable method for screening large numbers of urines for leucocytes and bacteria a dipstick method was used with colorimetric reading of colour changes with a reflectance spectrophotometer. One thousand consecutive urine specimens were tested by that method using a single dipstick for leucocyte esterase, nitrite, blood and protein in parallel with routine methods for enumeration of leucocytes by microscopy and quantitative culture for bacteria. Results of the four dipstick tests taken together had predictive values of 83.7% for a positive test for evidence of infection and 97.2% for a negative result. The false negative rate was 1%. Of the 191 urines with a significant bacteriuria (greater than 10(5) organisms/ml), 10 were false negatives by dipstick testing, representing 5% of all infected urines. Elimination of the need for culture on specimens that were negative by all four tests would reduce the workload by 36%.","Of the 191 urines with a significant bacteriuria, 10 were false negatives by dipstick testing, representing 5% of all infected urines, and elimination of the need for culture on specimens that were negative by all four tests would reduce the workload by 36%."
"The design of new urine analyzer based on CCD image sensor","https://scispace.com/paper/the-design-of-new-urine-analyzer-based-on-ccd-image-sensor-d4iif5v5p0","2006","Journal Article","Optical Technique","LI Hai-biao","","","Urine analyzer is a commonly used medical device for diagnosing illness of human urinary system by detecting its urine chemical constituentsIn most today's urine analyzer,photoelectric cell is often used as a sensor to detect the colors of every piece in the urine test paper step by step;hence the detecting speed is slowIn this paper,a new urine analyzer based on CCD image sensor is introducedA well designed touching screen system and new designed test paper conveying mechanism are also developed for this new systemAs the results are with the newly developed urine analyzer features complete function,good performance and high test speed","A new urine analyzer based on CCD image sensor is introduced, which features complete function, good performance and high test speed."
"Quantitative urine test strip reading for leukocyte esterase and hemoglobin peroxidase.","https://scispace.com/paper/quantitative-urine-test-strip-reading-for-leukocyte-esterase-un4xtgczki","2018","Journal Article","Clinical Chemistry and Laboratory Medicine","Matthijs Oyaert
Jonas Himpe
Marijn M. Speeckaert
Veronique Stove
Joris R. Delanghe","10.1515/CCLM-2017-1159","https://scispace.com/pdf/quantitative-urine-test-strip-reading-for-leukocyte-esterase-un4xtgczki.pdf","Background: Recently, urine test strip readers have become available for automated test strip analysis. We explored the possibilities of the Sysmex UC-3500 automated urine chemistry analyzer based on complementary metal oxide semiconductor (CMOS) sensor technology with regard to accuracy of leukocyte esterase and hemoglobin peroxidase results. We studied the influence of possible confounders on these measurements. 
Methods: Reflectance data of leukocyte esterase and hemoglobin peroxidase were measured using CMOS technology on the Sysmex UC-3500 automated urine chemistry analyzer. Analytical performance (imprecision, LOQ) as well as the correlation with white blood cell (WBC) and red blood cell (RBC) counts (Sysmex UF-5000) were studied. Furthermore, the influence of urinary dilution, haptoglobin, pH and ascorbic acid as confounders was determined. 
Results: Within- and between-run imprecision (reflectance signal) ranged from 1.1% to 3.6% and 0.9% to 4.2% for peroxidase and 0.4% to 2.5% and 0.4% to 3.3% for leukocyte esterase. Good agreement was obtained between the UF-5000 for RBCs and peroxidase reflectance (r = 0.843) and for WBCs and leukocyte esterase (r = 0.821). Specific esterase activity decreased for WBC counts exceeding 100 cells/mu L. Haptoglobin influenced the peroxidase activity, whereas leukocyte esterase and peroxidase activities showed a pH optimum between 5.0 and 6.5. A sigmoidal correlation was observed between urinary osmolality and peroxidase activity. 
Conclusions: CMOS technology allows to obtain high quality test strip results for assessing WBC and RBC in urine. Quantitative peroxidase and leukocyte esterase are complementary with flow cytometry and have an added value in urinalysis, which may form a basis for expert system development.","Quantitative peroxidase and leukocyte esterase are complementary with flow cytometry and have an added value in urinalysis, which may form a basis for expert system development."
"Toward a Quantitative Colorimeter for Point-of-Care Nitrite Detection","https://scispace.com/paper/toward-a-quantitative-colorimeter-for-point-of-care-nitrite-v5pknfad","2022","Journal Article","ACS omega","Vince Siu
Minhua Lu
Kuan Yu Hsieh
Kierstyn Raines
Youssef A. Asaad
Krishna Patel
Ali Afzali-Ardakani
Bo Wen
Russell Budd","10.1021/acsomega.1c07205","","This paper reports on a low-cost, quantitative, point-of-care solution for the early detection of nitrite, a common biomarker for urinary tract infections (UTIs). In a healthy individual, nitrite is not found in the urine. However, a subject with a suspected UTI will produce nitrite in their urine since the bacteria present will convert nitrate into nitrite. Traditionally, nitrite is monitored by urinary dipsticks that are either read by eye or using a reflectance spectrophotometer. Both methods provide a semiquantitative positive or negative result at best. In this paper, we described a novel, affordable, portable transmission-based colorimeter for the quantitative measurement of nitrite. A unique permutation of the Griess reaction was optimized for the clinical detection of nitrite in urine and is reported. By using nitrite spiked in a salt buffer, artificial, and human urine samples, the performance of the colorimeter was evaluated against dipsticks read using two commercial dipstick analyzers, Urisys 1100 (Roche Diagnostics) and Clinitek Status+ (Siemens Medical Solutions). The colorimeter was able to detect the clinically relevant range of nitrite from 0.78 to 200 μM in a salt buffer. The detection limit in artificial urine was determined as 1.6 μM, which is ∼16× more sensitive than commercial dipstick reflectance analyzers, enabling the possibility for earlier detection of urinary infections. The colorimeter is assembled using off-the-shelf components (<$80) and controlled by a smartphone application via low-energy bluetooth. It has a built-in color correction algorithm and is designed to enable for a turbidity correction in samples containing bacteria or other cellular debris as well. The mobile application can display the nitrite concentration for a single sample or display the results over a period of time. Tracking urinalysis results longitudinally can help identify trends such as increases in nitrite concentrations over an individual’s baseline and identify possible infections earlier. While the detection of nitrite was showcased here, this portable analyzer can be expanded to other colorimetric-based chemistries to detect a panel of biomarkers, which can improve the overall sensitivity and specificity of the desired assay.","A novel, affordable, portable transmission-based colorimeter that can be expanded to other colorimetric-based chemistries to detect a panel of biomarkers, which can improve the overall sensitivity and specificity of the desired assay."
"Urinalysis-Challenges by New Medical Needs and Advanced Technologies","https://scispace.com/paper/urinalysis-challenges-by-new-medical-needs-and-advanced-ekbmk2k09v","1998","Journal Article","Clinical Chemistry and Laboratory Medicine","Walter G. Guder
Ferrucio Ceriotti
Pierangelo Bonini","10.1515/CCLM.1998.157","","From the beginning of human medicine, urine has been used as a valuable source of diagnostic information. Medieval Uroscopy done with human senses by the uroscopist developed into chemical and microscopic urinalysis programmes more than 100 years ago. These analytes are the basis of most medical laboratories worldwide, the chemical “probes” mostly replaced by dipstick panels. More recently several new developments have challenged the traditional strategy. Thus, so called microalbuminuria, defined by the negative test strip, increased the awareness of insufficient analytical sensitivity of the test strip to screen for early diabetic nephropathy, as pointed out in the contribution of Kutter (1). The increasing frequency of end stage renal disease caused by tubulointerstitial diseases, and the fact that the markers of these tubular proteinurias were not detected by the traditional test strips led to the recommendation of measurement of a low molecular weight protein as a marker of tubular dysfunction (2). Urine microscopy, on the other hand, was challenged by the observation that urine erythrocytes derived from renal sources could be differentiated by their dysmorphic appearance from haematuria caused by postrenal bleeding (3). Immunological assays and the flow cytometric analysis of urine cells and casts challenge the medical experts and laboratory managers to reconsider urine strategy to meet future needs. During an expert meeting sponsored and organized by Menarini Ltd, Florence, Italy, the participants from more than 30 countries discussed the future needs for a test strip panel. Some markers like urobilinogen were said to be of low diagnostic value, whereas others like the protein test strip were said to need higher analytical specificity and sensitivity. Contributions from main speakers of this meeting are included in the present issue. The possibilities of automated test strip as well as morphological urinalysis, covered by the reports of Ceriotti et al. (4) and Fellini and Pirovano (5) as well as good experiences with external quality assurance programmes for urine analytes in various countries, support the view that medical needs have to be redefined with respect to all scientific and technical news available. A European Urinalysis group formed after the meeting and convened by T. Kouri from Tampere, Finland, consisting of colleagues from microbiology, nephrology and clinical chemistry, presented a recommendation on “Best practice in urinalysis”, trying to provide a guideline for basic urinalysis based on present medical knowledge and technical as well as economic factors (6). It is to be hoped that this initiative leads to a new international discussion on the needs in urinalysis based on medical needs of today and tomorrow. Thanks should be given to the sponsors of a meeting, devoted to this part of physicians and laboratories daily work, which may help to bring this field back from the “urine corner” into the centre of our work.","During an expert meeting sponsored and organized by Menarini Ltd, Florence, Italy, the participants from more than 30 countries discussed the future needs for a test strip panel, with some markers like urobilinogen said to be of low diagnostic value, whereas others like the protein test strip were said to need higher analytical specificity and sensitivity."
"The Design of New Urine Analyzer Based on CCD Image Sensor","https://scispace.com/paper/the-design-of-new-urine-analyzer-based-on-ccd-image-sensor-fll4yaxrcv3f","","","","李海标","10.3321/j.issn:1002-1582.2006.z1.059","","Urine analyzer is a commonly used medical device for diagnosing illness of human urinary system by detecting its urine chemical constituents.In most today's urine analyzer,photoelectric cell is often used as a sensor to detect the colors of every piece in the urine test paper step by step;hence the detecting speed is slow.In this paper,a new urine analyzer based on CCD image sensor is introduced.A well designed touching screen system and new designed test paper conveying mechanism are also developed for this new system.As the results are with the newly developed urine analyzer features complete function,good performance and high test speed.","A new urine analyzer based on CCD image sensor is designed, featuring a touching screen system and test paper conveying mechanism, improving detection speed and performance, with complete functions and high test speed."
"mHealth Dipstick Analyzer for Monitoring of Pregnancy Complications","https://scispace.com/paper/mhealth-dipstick-analyzer-for-monitoring-of-pregnancy-3kkku51vz0","2017","Journal Article","IEEE Sensors Journal","Karthik Raj Konnaiyan
Surya Cheemalapati
Michael Gubanov
Anna Pyayt","10.1109/JSEN.2017.2752722","","Dipstick-based urinalysis is routinely used for the detection of early signs of such pregnancy complications, as preeclampsia and gestational diabetes. Usually it is done in doctor’s office using an automatic dipstick analyzer. Here, we present a novel smartphone-based colorimeter and demonstrate its application to the measurements of glucose and protein concentrations in biological samples. The key innovations of our approach was to combine powerful image processing encoded into a mobile phone application with a low cost 3-D printed sample holder that allowed to control lighting conditions and significantly improved sensitivity. Different solutions with protein and glucose concentrations ranging from 0 to 2000 mg/dL were prepared and analyzed using our system. The detection limit for glucose was 40 mg/dL and for protein −6mg/dL The smartphone-based colorimeter always correctly classified the corresponding reagent strip pads, what confirms that it can be used as a low cost alternative for commercial dipstick analyzers.","A novel smartphone-based colorimeter is presented and its application to the measurements of glucose and protein concentrations in biological samples, confirming that it can be used as a low cost alternative for commercial dipstick analyzers."
"Study on a novel core module based on optical fiber bundles for urine dry-chemistry analysis","https://scispace.com/paper/study-on-a-novel-core-module-based-on-optical-fiber-bundles-4bhl30codf","2017","Journal Article","Review of Scientific Instruments","Liu Gaiqin
Ma Zengwei
Rui Li
Nan Hu
Ping Chen
Fei Wang
Ruiying Zhang
Longcong Chen","10.1063/1.4990686","","A core module with a novel optical structure is presented to analyze urine by the dry-chemistry method in this paper. It consists of a 32-bit microprocessor, optical fiber bundles, a high precision color sensor and a temperature sensor. The optical fiber bundles are adopted to control the spread path of light and reduce the influence of ambient light and the distance between the strip and sensor effectively. And the temperature sensor is applied to detect the environmental temperature to calibrate the measurement results. Therefore, all these can bring a lot of benefits to the core module, such as improving its test accuracy, reducing its volume and cost, and simplifying its assembly. Additionally, some parameters, including the calculation coefficient about reflectivity of each item, semi-quantitative intervals, the number of test items, may be modified by corresponding instructions in order to enhance its applicability. Meanwhile, its outputs can be chosen among the original data, normalized color values, reflectivity, and the semi-quantitative level of each test item by available instructions. Our results show that the module has high measurement accuracy of more than 95%, good stability, reliability, and consistency and can be easily used in various types of urine analyzers.","A core module with a novel optical structure presented to analyze urine by the dry-chemistry method has high measurement accuracy of more than 95%, good stability, reliability, and consistency and can be easily used in various types of urine analyzers."
"Application of analytical performance specifications for urine test strip methods: importance of reflectance signals.","https://scispace.com/paper/application-of-analytical-performance-specifications-for-3sxfthf4vk","2023","Journal Article","","Julien Cabo
Julien Favresse","10.1016/j.cca.2023.117534","","Urinalysis is essential for diagnosing kidney-related medical conditions. Urine test strip analysis serves as an initial and efficient screening method for reflex testing with accurate quantitative methods. Freshly voided urines (n = 206) were analysed using two urine test strip brands on UC-MAX (Menarini) and cobas u 601 (Roche Diagnostics) instruments. Ordinal scale categories and reflectance signals (if available) were both used for the comparison with reference quantitative methods for glucose, proteins and albumin (cobas 503). Samples were considered positive when glucose > 15 or ≥ 54 mg/dL, proteins ≥ 200 mg/L and albumin ≥ 10 mg/L. Optimized reflectance thresholds were calculated by ROC curve analysis. Analytical performance specifications (APS) for trueness of test strip were gathered from the EFLM guideline (FPD, FNG, FNC). Reflectance signals were significantly lower in urine samples considered positive by the reference method (p < 0.0001). Reflectance signals were also correlated with quantitative measurements, showing strong correlation (0.754 to 0.969). Only the use of optimized reflectance thresholds on cobas u 601 achieved at least the minimum EFLM APS (FPD < 20%, FNG < 50% and FNC < 10%). The use of reflectance signals from urine test strips enhanced accuracy for glucose, proteins, and albumin measurement and may contribute to improve diagnosis of diverse kidney-related conditions. ","The use of reflectance signals from urine test strips enhanced accuracy for glucose, proteins, and albumin measurement and may contribute to improve diagnosis of diverse kidney-related conditions."
"mHealth dipstick analyzer for monitoring of pregnancy complications","https://scispace.com/paper/mhealth-dipstick-analyzer-for-monitoring-of-pregnancy-2z64yow084","2016","Proceedings Article","IEEE Sensors","Karthik Raj Konnaiyan
Surya Cheemalapati
Anna Pyayt
Michael Gubanov","10.1109/ICSENS.2016.7808968","","Dipstick-based urinalysis is routinely used for detection of early signs of such pregnancy complications, as preeclampsia and gestational diabetes. Usually it is done in doctor's office using an automatic dipstick analyzer. Here we present a novel smartphone-based colorimeter and demonstrate its application to the measurements of glucose and protein concentrations in biological samples. The key innovations of our approach was to combine powerful image processing encoded into a mobile phone application with a low cost 3D printed sample holder that allowed to control lighting conditions and significantly improved sensitivity. Different solutions with protein and glucose concentrations ranging from 0 to 2000 mg/dL were prepared and analyzed using our system. The smartphone-based colorimeter always correctly classified the corresponding reagent strip pads, what confirms that it can be used as a low cost alternative for commercial dipstick analyzers.","A novel smartphone-based colorimeter that can be used as a low cost alternative for commercial dipstick analyzers is presented and its application to the measurements of glucose and protein concentrations in biological samples is demonstrated."
"Semi-automated vs. visual reading of urinalysis dipsticks.","https://scispace.com/paper/semi-automated-vs-visual-reading-of-urinalysis-dipsticks-3qw280ta3n","1977","Journal Article","Clinical Chemistry","J D Peele
R H Gadsden
R Crews","10.1093/CLINCHEM/23.12.2242","","Semi-automated reflectance readings of urinalysis dipsticks showed better precision than visual readings in the case of artificially prepared urine samples containing glucose, ketone, and protein. Actual pathological specimens containing glucose, protein, and nitrite also showed that instrumental readings were better than visual. Results of repeated visual readings spread over three different color blocks for certain concentrations of glucose, ketone, and protein, whereas repeated instrumental readings were never spread greater than two color blocks. Subjectivity can be reduced by semi-automated dipstick urinalysis.","Semi-automated reflectance readings of urinalysis dipsticks showed better precision than visual readings in the case of artificially prepared urine samples containing glucose, ketone, and protein."
"Smartphone-Based Point-of-Care Urinalysis Assessment","https://scispace.com/paper/smartphone-based-point-of-care-urinalysis-assessment-3vzcatvq","2022","Proceedings Article","2022 44th Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC)","","10.1109/embc48229.2022.9870917","","A dipstick urinalysis test is performed by immersing a reagent strip in the urine specimen and then comparing the resulting reagent pad colors with a reference key. The color assessment of the reagent strip can be performed manually or by using a urine analyzer. However, the manual procedure is prone to subjective inaccuracies in varying ambient illumination and urine analyzer equipment is expensive. This paper presents a smartphone-based machine-learning approach to accurately determine the reagent pad colors for automated assessment. We start with a unique calibration chart and use multivariate linear regression to map the captured color values to their true equivalents. This accounts for the camera-induced distortions and ambient illumination factors. Subsequently, the color comparison is performed using the least Euclidean distance to match the calibrated color of each reagent pad with the reference key. The results from an experimental study, using five different smartphone cameras and three common illumination settings, indicate a high degree of accuracy in color assessment for synthetic dipsticks. The proposed smartphone-based method is an easy-to-perform, time-efficient, and cost-effective solution for an automated urinalysis and could be used as an alternative to manual reading or benchtop urine analyzers. Clinical Relevance- The methods, technology, and data reported in this research can serve as an accurate, reliable, and cost-effective means for automated urinalysis in comparison to the existing methods. Furthermore, the ubiquity of smartphones opens new avenues for automated diagnostics in clinical, at-home, and point-of-care settings. ","In this article , a smartphone-based machine-learning approach is used to determine the reagent pad colors for automated assessment of a dipstick urinalysis test, which is performed by immersing a reagent strip in the urine specimen and then comparing the resulting reagent pads colors with a reference key."
"Development of a Low-Cost Computer Vision System for Quantifying Ketone and Glucose in Urine Dipstick Tests","https://scispace.com/paper/development-of-a-low-cost-computer-vision-system-for-57df0x85o6sh","2024","Journal Article","","Prachi Bhoir
Jagannath Nirmal
Ninad Mehendale","10.1109/aic61668.2024.10777895","","<copy 979-8-3503-8459-8/24/$31.00 ©2024 IEEEUrinalysis is a crucial diagnostic tool, but current dipstick tests face limitations in accuracy and objectivity. While automated urine test strip readers could address these issues, existing devices are often expensive and inaccessible in resource-limited settings. This study presents the development of a low-cost, machine vision-based device for accurate quantification of ketone and glucose levels from colorimetric urine test strips. Our system employs computer vision algorithms to extract RGB color values from test strip images and maps them to analyte concentrations using calibration curves. The device consists of a Raspberry Pi module, a low-cost webcam, and a custom 3D-printed enclosure with controlled LED illumination, all integrated into a portable unit costing under Rs 10,000. We analyzed 8 urine samples with varying ketone and glucose concentrations, capturing images at 2-minute intervals from 2 to 10 minutes post-dipping. The system achieved 88.7% accuracy compared to gold-standard lab measurements, outperforming visual interpretation. This affordable and portable device has the potential to significantly improve access to reliable urinalysis in resource-limited settings, enabling early detection and better management of conditions like diabetes and kidney disease. By providing objective, quantitative results, it could enhance diagnostic accuracy and facilitate more timely interventions, ultimately leading to improved patient outcomes in underserved communities. This innovative solution addresses a significant barrier in healthcare diagnostics and represents a meaningful advance in point-of-care diagnostics, particularly for low-resource areas.","Researchers developed a low-cost, machine vision-based device for accurate quantification of ketone and glucose levels in urine test strips, achieving 88.7% accuracy and outperforming visual interpretation, with potential to improve access to reliable urinalysis in resource-limited settings."
"Urine Sediment Analyzer, Urine Chemical Analyzer and Optical Microscope to Detect Urine Erythrocyte, White Blood Cell Comparison","https://scispace.com/paper/urine-sediment-analyzer-urine-chemical-analyzer-and-optical-odlcew79ebx8","","","","刘玫","10.3969/j.issn.1006-6586.2017.21.061","","目的 比较并分析AVE-763C全自动尿沉渣分析仪、MA-4280KB尿干化学分析仪及光学显微镜检测尿液红细胞、白细胞结果.方法 随机抽取1 654例患者晨尿标本,分别用AVE-763C全自动尿沉渣分析仪、MA-4280KB干化学分析仪及光学显微镜进行检测,比较检测结果.结果 以显微镜检查作为对照,AVE-763C全自动尿沉渣分析仪对红细胞检测的敏感度、特异度为99.7%、97.8%,对白细胞检测的敏感度、特异度分别为99.6%、98.8%.AVE-763C全自动尿沉渣分析仪、MA-4280KB干化分析仪对红细胞、白细胞检测结果Kappa值均大于0.6,说明一致性很高.结论 将AVE-763C全自动尿沉渣分析仪、MA-4280KB干化学分析仪作为过筛试验并结合光学显微镜检查进行复检,才能快速、准确地为临床提供有效、可靠的检验结果.","This study compares the accuracy of AVE-763C urine sediment analyzer, MA-4280KB urine chemical analyzer, and optical microscope in detecting urine erythrocytes and white blood cells, finding high sensitivity and specificity for AVE-763C."
"Análise automatizada de exames de urina utilizando imagens digitais de dipsticks","https://scispace.com/paper/analise-automatizada-de-exames-de-urina-utilizando-imagens-4vd1kc952l","2017","Proceedings Article","","Rafaela Barbirato Ferreira
Lucas Ferrari de Oliveira","10.5753/SBCAS.2017.3718","https://scispace.com/pdf/analise-automatizada-de-exames-de-urina-utilizando-imagens-4vd1kc952l.pdf","Este artigo propoe um estudo sobre a analise de fitas reagentes (dipsticks) para exames de urina. Uma base de imagens de dispsticks foi criada, possibilitando o desenvolvimento e avaliacao das tecnicas de extracao propostas. A extracao de caracteristicas das imagens foi feita utilizando-se os modelos de cores HSV e RGB. Para os testes o classificador escolhido foi o MLP (Multilayer Perceptron). A quantidade de camadas da rede, numero de neuronios, taxa de aprendizado, momentos e epocas foram variados, visando melhores resultados de classificacao. O MLP obteve uma media de 91; 21% de taxa da acerto, mostrando-se eficiente na classificacao dos dados. Os experimentos desenvolvidos confirmaram que a tecnica e viavel.","In this paper, a base of imagens de dispsticks foi criada, possibilitando o desenvolvimento e avaliacao das tecnicas de extracao propostas."
"An Optical POCT Device for Colorimetric Detection of Urine Test Strips Based on Raspberry Pi Imaging","https://scispace.com/paper/an-optical-poct-device-for-colorimetric-detection-of-urine-1cxitz7q","2022","Journal Article","Photonics","Zi-Ni Yang
Gaozhe Cai
Jianlong Zhao
Shilun Feng","10.3390/photonics9100784","https://scispace.com/pdf/an-optical-poct-device-for-colorimetric-detection-of-urine-1cxitz7q.pdf","Urine examinations are widely applied in hospitals using urine test strip analyzers or other sophisticated professional instruments. However, such methods are inconvenient health monitoring of patients at home. Herein, we construct an optical device for point-of-care testing (POCT) for urine analysis at home or on the spot. A black box and color calibration curve are established to eliminate the influence of ambient light with an independent internal lighting system included in the device. A Raspberry Pi with a CSI camera is programmed to automatically collect the strip images and identify the HSV values of the image with an image processing algorithm. During this process, these corrected colors are converted to concentration values by preloaded standard curves. Under optimal conditions, the proposed POCT device can quantitatively and automatically detect glucose within 1 min, with linear detection ranging from 2 mM to 60 mM and a detection limit of 1.16 mM. In addition, the device demonstrates satisfactory accuracy and quantitative analysis of ketone bodies, glucose, protein, occult blood, pH, and leukocytes in human urine samples with high-resolution concentrations, achieving results similar to those obtained with hospital instruments. The proposed device is portable and user-friendly, providing convenient colorimetric analysis for urine. Furthermore, the proposed device also has considerable potential for the development of in vitro diagnosis methods through combination with other test strips.","The proposed optical device for point-of-care testing (POCT) for urine analysis at home or on the spot is portable and user-friendly, providing convenient colorimetric analysis for urine, and has considerable potential for the development of in vitro diagnosis methods through combination with other test strips."
"Towards real-time urinalysis with holographic lens-free imaging","https://scispace.com/paper/towards-real-time-urinalysis-with-holographic-lens-free-105rhrev","2022","Proceedings Article","","Gregory N. McKay
Anisha Oommen
Carolina Pacheco
Mason T. Chen
Stuart C. Ray
René Vidal
Benjamin D. Haeffele
Nicholas J. Durr","10.1117/12.2609677","","Urinalysis is an essential diagnostic tool in evaluating health and disease of the genitourinary tract. A urinalysis typically consists of dipstick testing, which can detect red blood cells, white blood cells, and bacteria, and microscopic evaluation of urine sediment after centrifugation, which further reveals other biomarkers such as crystals and casts. In the in-patient hospital setting, urinalysis is typically ordered after disease is suspected, drawing urine from the collection bag of a foley catheter and sending the sample to a core laboratory for analysis. To improve access to urine biomarkers, we propose a holographic lens free imaging (LFI) system that could allow automated bedside urine screening. LFI is uniquely suited for this task due to its low-cost, compact nature, and its ability to reconstruct large volumes from a single hologram without the depth-of-field trade-off of conventional microscopy. Here, we build and demonstrate an LFI system capable of detecting important biomarkers such as E. Coli in PBS and red blood cells, casts, and crystals in urinalysis control phantoms. In the future, this compact system could be connected to the drainage tube of a patient's foley catheter to enable real-time screening of urine at the bedside.","A holographic lens free imaging (LFI) system capable of detecting important biomarkers such as E. Coli in PBS and red blood cells, casts, and crystals in urinalysis control phantoms is built and demonstrated."
"Automated color classification of urine dipstick image in urine examination","https://scispace.com/paper/automated-color-classification-of-urine-dipstick-image-in-4vsv1v20h1","2018","Journal Article","","Romi Fadillah Rahmat
Royananda
M A Muchtar
R Taqiuddin
S. Adnan
Rina Anugrahwaty
R Budiarto","10.1088/1742-6596/978/1/012008","https://iopscience.iop.org/article/10.1088/1742-6596/978/1/012008/pdf","Urine examination using urine dipstick has long been used to determine the health status of a person. The economical and convenient use of urine dipstick is one of the reasons urine dipstick is still used to check people health status. The real-life implementation of urine dipstick is done manually, in general, that is by comparing it with the reference color visually. This resulted perception differences in the color reading of the examination results. In this research, authors used a scanner to obtain the urine dipstick color image. The use of scanner can be one of the solutions in reading the result of urine dipstick because the light produced is consistent. A method is required to overcome the problems of urine dipstick color matching and the test reference color that have been conducted manually. The method proposed by authors is Euclidean Distance, Otsu along with RGB color feature extraction method to match the colors on the urine dipstick with the standard reference color of urine examination. The result shows that the proposed approach was able to classify the colors on a urine dipstick with an accuracy of 95.45%. The accuracy of color classification on urine dipstick against the standard reference color is influenced by the level of scanner resolution used, the higher the scanner resolution level, the higher the accuracy.","The method proposed by authors is Euclidean Distance, Otsu along with RGB color feature extraction method to match the colors on the urine dipstick with the standard reference color of urine examination and shows that the proposed approach was able to classify the colors with an accuracy of 95.45%."
